X1,X2,labels,IDs,Var5
-1.445404535,-1.940125489,spiny mouse,349593629,
0.56936473,-2.341966354,spiny mouse,349621141,
-1.34526838,-3.842746491,spiny mouse,354190013,
4.609787835,1.088333205,spiny mouse,354833767,
-1.299957528,-1.886330454,spiny mouse,356237593,
0.052950036,-2.759228213,spiny mouse,367567889,
-0.943543989,-2.293983135,spiny mouse,369697038,
-1.363343321,-1.857737056,spiny mouse,370351753,
-1.143822896,-1.350086602,spiny mouse,382982932,
-1.245238125,-1.226018364,spiny mouse,385492488,
-1.231662363,-2.58482715,spiny mouse,386049446,
-1.741394306,-1.933880449,spiny mouse,386970660,
1.991409035,-0.668641434,SST/adap,388874977,
-1.553011704,-4.673219572,spiny mouse,395785266,
-1.746284591,-2.144671195,spiny mouse,395830185,
-2.014496307,-1.954209511,spiny mouse,395851985,
0.266178755,7.464734062,PV/FS,396274594,
0.78273979,5.820234741,PV/FS,396369826,
1.389005446,6.323632266,PV/FS,396608557,
1.296706128,7.054597205,PV/FS,396650742,
0.809292575,5.899700733,PV/FS,396652279,
0.254077862,7.351181841,PV/FS,396687610,
0.382030181,-2.126375353,spiny mouse,396903166,
0.398262599,-1.490374786,spiny mouse,396903227,
1.48666277,2.157823978,SST/adap,396939115,
1.275737691,6.989797832,PV/FS,396963717,
0.935938003,2.415997018,SST/adap,396968721,
1.483156667,6.54537197,PV/FS,397129612,
1.557125276,7.202819115,PV/FS,397220859,
1.164061915,6.728337844,PV/FS,397243949,
-4.800782587,-1.410230709,LS/Neurogliaform,397248752,
0.796853014,-2.238315066,spiny mouse,397345294,
0.642595831,-2.905929018,spiny mouse,397348126,
-1.417685253,-1.645622451,spiny mouse,397351623,
0.857054144,-2.643212439,spiny mouse,397353539,
-0.645819082,-1.28173502,spiny mouse,397354239,
-2.616792116,-4.188879759,spiny mouse,422055317,
-1.459418999,-1.81778628,spiny mouse,422738880,
-3.99882261,-1.122121539,LS/Neurogliaform,439372920,
-4.878456094,-1.486356042,LS/Neurogliaform,441000782,
-1.726442748,-2.247854239,spiny mouse,464079491,
-4.709250379,-2.106193421,LS/Neurogliaform,464188580,
3.531928749,2.13943673,IR/VIP,464191630,
1.120812954,1.808902049,IR/VIP,464198958,
1.059854915,2.221221511,SST/adap,464212183,
-0.231395043,5.723305351,PV/FS,464290292,
-1.022641735,-3.547715016,spiny mouse,464326158,
1.551869693,6.53396422,PV/FS,464368713,
2.895157099,-2.635949342,spiny mouse,465924786,
1.259318325,7.532973396,PV/FS,466114829,
1.327369538,5.873096666,PV/FS,466245544,
1.038827363,1.595473191,IR/VIP,466271455,
-1.494210664,-1.355539813,spiny mouse,466378900,
0.173489848,-3.200526018,spiny mouse,466431949,
0.026151817,-2.251610693,spiny mouse,466632464,
0.872149118,1.520348473,SST/adap,466664172,
0.718738742,-0.399214256,SST/adap,466705337,
-0.732314771,-2.650699945,spiny mouse,466800233,
-2.839696583,-3.792687441,spiny mouse,466827702,
3.063930194,-2.482860168,spiny mouse,467003163,
-0.771980043,-3.698604719,spiny mouse,467357834,
-1.943329834,-2.479489903,spiny mouse,467703703,
-1.008144212,-4.534116529,spiny mouse,467831649,
-2.912877968,-3.771250409,spiny mouse,468054671,
0.081213663,-3.071369171,spiny mouse,468120757,
0.770057049,-2.477662204,spiny mouse,468193142,
