Var1,NewID
M08_JS_A1_C07,1651279
M08_JS_A1_C08,7017234
M08_JS_A1_C09,6085159
M08_JS_A1_C10,9788035
M08_JS_A1_C11,8364299
M08_JS_A1_C12,9813524
M08_JS_A1_C13,7545103
M08_JS_A1_C14,3137898
M08_MW_A1_C01,2212063
M08_MW_A1_C02,4430784
M08_MW_A1_C03,9498134
M08_MW_A1_C05,3767213
M08_MW_A1_C06,3203383
M08_MW_A1_C07,3227452
M08_SM_A1_C03,2947362
M08_SM_A1_C04,1584520
M08_SM_A1_C05,8648436
M08_SM_A1_C06,9978544
M08_SM_A1_C07,2883559
M08_SM_A1_C09,5675998
M10_JS_A1_C01,5623034
M10_JS_A1_C02,9902142
M10_JS_A1_C03,6703581
M10_JS_A1_C04,9146485
M10_JS_A1_C05,6683254
M10_JS_A1_C06,6269905
M10_JS_A1_C07,2649538
M10_JS_A1_C08,5547184
M10_JS_A1_C09,8286290
M10_JS_A1_C10,7669369
M10_JS_A1_C11,8325627
M10_JS_A1_C12,9944849
M10_JS_A1_C13,9971064
M10_JS_A1_C14,8247849
M10_JS_A1_C15,7600953
M10_JS_A1_C16,7978196
M10_JS_A1_C17,7113146
M10_JS_A1_C18,7970140
M10_JS_A1_C19,2827310
M10_JS_A1_C20,2751410
M10_JS_A1_C21,5579920
M10_JS_A1_C22,2516326
M10_JS_A1_C23,3991272
M10_JS_A1_C24,3366214
M10_JS_A1_C25,5907068
M10_JS_A1_C26,4483980
M10_JS_A1_C27,6819623
M10_JS_A1_C28,2255788
M10_JS_A1_C29,2000193
M10_JS_A1_C30,6569110
M10_JS_A1_C32,3682711
M10_MJ_A1_C02,5139476
M10_MJ_A1_C03,1678047
M10_MJ_A1_C06,1987789
M10_MJ_A1_C07,5200757
M10_MJ_A1_C08,8818235
M10_MJ_A1_C12,7526445
M10_MJ_A1_C13,3869389
M10_MJ_A1_C15,8930387
M10_SA_A1_C01,8137730
M10_SA_A1_C02,2933439
M10_SA_A1_C03,5361613
M10_SA_A1_C05,5414021
M10_SA_A1_C06,3833600
M10_SA_A1_C07,9975388
M10_SA_A1_C08,1623804
M10_SA_A1_C09,2169241
M10_SA_A1_C10,6134405
M10_SA_A1_C11,3105698
M10_SA_A1_C14,9037641
M10_SA_A1_C15,9372550
M10_SA_A1_C16,3874151
M12_JS_A1_C01,3351044
M12_JS_A1_C02,6536289
M12_JS_A1_C03,2581526
M12_JS_A1_C04,8543911
M12_JS_A1_C05,2064307
M12_JS_A1_C06,7975515
M12_JS_A1_C07,3248905
M12_JS_A1_C08,7399711
M12_JS_A1_C09,4120570
M12_JS_A1_C10,5343306
M12_JS_A1_C11,1891078
M12_JS_A1_C12,5857796
M12_JS_A1_C13,6208764
M12_JS_A1_C14,7015602
M12_JS_A1_C15,9814653
M12_SA_A1_C01,9239003
M12_SA_A1_C02,6119309
M12_SA_A1_C04,7007468
M12_SA_A1_C05,9537193
M12_SA_A1_C06,7342105
M12_SA_A1_C07,3714844
M12_SA_A1_C08,6544964
M12_SA_A1_C09,9978275
M12_SA_A1_C10,2656640
M12_SA_A1_C11,7889217
M12_SA_A1_C12,9605789
M12_SA_A1_C13,2347702
M12_SA_A1_C14,8849534
M19_JS_A1_C01,4975821
M19_JS_A1_C02,8003564
M19_JS_A1_C03,8975436
M19_JS_A1_C04,7768236
M19_JS_A1_C05,8205287
M19_JS_A1_C06,4459885
M19_JS_A1_C07,7413319
M19_JS_A1_C08,4122456
M19_JS_A1_C09,3345938
M19_JS_A1_C11,8089605
M19_JS_A1_C12,5935184
M19_JS_A1_C13,8923103
M19_JS_A1_C14,4838316
M19_JS_A1_C15,6110172
M19_MM_A1_C01,8749915
M19_MM_A1_C02,5602093
M19_MM_A1_C03,2830122
M19_MM_A1_C05,3028495
M19_MM_A1_C06,7138747
M19_MM_A1_C07,9433398
M19_MM_A1_C08,5854951
M19_MM_A1_C09,6661088
M19_MM_A1_C10,8257021
M19_MM_A1_C11,7839811
M19_MM_A1_C13,4810929
M19_SA_A1_C01,4769609
M19_SA_A1_C02,7406995
M19_SA_A1_C03,7491511
M19_SA_A1_C04,7661074
M19_SA_A1_C05,1784469
M19_SA_A1_C06,2688707
M19_SA_A1_C07,5905888
M19_SA_A1_C08,9632904
M19_SA_A1_C09,7286726
M19_SA_A1_C10,6406733
M19_SA_A1_C11,3307545
M19_SA_A1_C12,1790100
M20_JS_A1_C01,9904357
M20_JS_A1_C02,1700831
M20_JS_A1_C03,1927497
M20_MM_A1_C01,6846705
M20_MM_A1_C02,6852521
M20_MM_A1_C03,8475887
M20_MM_A1_C04,4765338
M20_MM_A1_C05,9791993
M20_MM_A1_C06,2848919
M20_MM_A1_C07,4993744
M20_SA_A1_C01,3839715
M20_SA_A1_C02,8538234
M20_SA_A1_C03,8337229
M20_SA_A1_C04,1029038
M20_SA_A1_C05,6491815
M20_SA_A1_C06,2402289
M20_SA_A1_C07,1530562
M20_SA_A1_C08,7378701
M20_SA_A1_C09,4206621
M20_SA_A1_C10,6239034
