ID,specimen,struct,transline,reporterStatus,AIr,AItau,AIrheobase,pyramidalID,dendrite_type,cortical_layer,acquireRes,Resistence,resistance_hd,resistance_ss,Vrest,time_constant,time_constant2,subamp,submin,rebound_slope,rebound_depolarization,sag,steadystate,sag_ratio,Vrest_sag_sweep,nb_rebound_sp,rheobaseLP,rate_1sRheobase,rate_750msRheobase,rate_500msRheobase,rate_250msRheobase,rate_100msRheobase,rate_50msRheobase,delayRheobase,burstRheobase,latencyRheobase,cv_ISIRheobase,adaptation1Rheobase,adaptation2Rheobase,peak_adaptation1Rheobase,peak_adaptation2Rheobase,peakLP,thresholdLP,half_width_threshold_peak,half_width_peak_trough,height_threshold_peak,height_peak_trough,peak_up_stroke,peak_down_stroke,peak_stroke_ratio,trough,fastTrough,slowTrough,fAHPamp,wf,maxFiringRate,mdn_insta_freq,rate_1sHero,rate_750msHero,rate_500msHero,rate_250msHero,rate_100msHero,rate_50msHero,burst_hero,delay_hero,latency_hero,hero_amp,access_resistance,temperature,cellList
M10_JS_A1_C08,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,A,NaN,0.05,216.78,232.5195089,160.9619171,-76.30744605,23.63,118.65,-90,-97.65,0,2.7,6.11,-91.55,1.07,-74.46637945,0,90,1,1.333333333,2,4,10,0,NaN,NaN,67.05,NaN,NaN,NaN,NaN,NaN,21.28,-36.49,1,1.15,57.77,71.69,101.42,-62.68,-1.62,-50.4,3.65,3.65,NaN,0,3,NaN,1,1.333333333,2,4,10,20,NaN,NaN,36.55,120,0,0,
M10_JS_A1_C09,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,228.92,243.0383836,206.7695836,-63.14970396,19.5,158.68,-90,-86.44,0,0.33,3.67,-82.78,1.04,-61.94459484,0,90,22,22.66666667,22,16,10,20,0.73,67.95,32.15,0.34,-0.02,0.41,0.95,0,28.52,-31.6,0.45,0.55,60.12,84.51,126.42,-143.88,-0.88,-55.99,1.2,1.2,24.39,0,121,98.03921569,50,49.33333333,48,44,40,40,20.25,0.970222563,19.35,120,0,0,
M10_JS_A1_C11,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,211.74,240.5887383,202.050095,-72.50755332,19.14,261.47,-90,-92.99,0,1.1,3.5,-89.5,1.04,-70.75252865,0,70,1,1.333333333,2,4,10,0,NaN,NaN,71.15,NaN,NaN,NaN,NaN,NaN,35.88,-49.21,1.2,1.25,85.09,88.94,174.3,-57.78,-3.02,-53.06,4.7,118.65,NaN,0,4,NaN,3,4,6,12,30,20,36.75,0.719727891,26.45,110,0,0,
M10_JS_A1_C13,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,255.06,248.8094228,170.1884738,-66.58622129,12.24,44.1,-90,-90.3,0,4.49,6.6,-83.7,1.08,-67.32010039,0,90,33,37.33333333,38,36,30,0,2.1,19.95,54,0.11,0.01,1.41,1.2,0,13.22,-30.54,0.35,0.55,43.76,70.51,90.33,-126.89,-0.71,-57.29,1,1,26.75,0,97,82.6446281,97,98.66666667,100,100,100,100,10.05,0.792458599,8.1,130,0,0,
M10_JS_A1_C14,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,S,NaN,0.05,187.27,209.0635699,160.9431614,-75.43552503,16.96,166.25,-90,-93.51,0,1.76,4.49,-89.01,1.05,-74.07089092,0,90,3,4,6,8,10,0,0.63,128.7,81.2,0.57,NaN,NaN,0.89,NaN,25.35,-44.49,0.9,0.9,69.84,75.55,148.16,-77.46,-1.91,-50.2,2.7,24.5,NaN,0,8,15.96169194,8,10.66666667,16,20,30,20,24.675,0.628055804,35.05,130,0,0,
M10_JS_A1_C16,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,88.86,83.93704876,72.33732008,-79.64029151,19.45,NaN,-90,-87.8,0,0.25,1.6,-86.2,1.02,-79.51380036,0,230,1,1.333333333,2,4,0,0,NaN,NaN,134.65,NaN,NaN,NaN,NaN,NaN,47.72,-44.65,1.1,1.2,92.37,103.51,207.79,-73.7,-2.82,-55.79,5.05,96.35,NaN,0,1,NaN,1,1.333333333,2,4,10,20,NaN,NaN,46.4,310,0,0,
M10_JS_A1_C17,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,74.49,88.8190858,84.09217159,-73.15665383,21.65,NaN,-90,-80.61,0,0.25,0.93,-79.68,1.01,-72.10485045,0,150,3,2.666666667,4,4,0,0,0.41,367.38,150.85,0.3,NaN,NaN,0.98,NaN,37.43,-46.08,1.45,1.5,83.51,88.64,159.6,-52.53,-3.04,-51.21,4.9,119.2,NaN,0,14,10.62699256,10,10.66666667,12,12,20,0,52.225,0.552534819,55.1,230,0,0,
M10_JS_A1_C19,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,413.7,387.9692033,238.9507626,-56.81514671,23.08,115.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,80,1,1.333333333,2,4,10,20,NaN,NaN,16.65,NaN,NaN,NaN,NaN,NaN,22.04,-27.89,0.5,0.65,49.94,69.83,91.7,-111.82,-0.82,-47.79,1.3,1.3,19.9,0,3,NaN,1,1.333333333,2,4,10,20,NaN,NaN,10.55,120,0,0,
M10_JS_A1_C21,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,243.9,229.331987,139.4507539,-78.57784508,22.81,142.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,120,1,1.333333333,2,4,0,0,NaN,NaN,109.85,NaN,NaN,NaN,NaN,NaN,43.36,-36.07,1,1.05,79.43,90.19,172.09,-70.61,-2.44,-46.83,4.05,247.8,NaN,0,2,NaN,2,2.666666667,4,8,20,20,NaN,1.150887574,38.9,180,0,0,
M10_JS_A1_C22,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,334.19,345.6838382,265.9789944,-73.43753128,26.18,82.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,60,10,12,14,16,20,20,0.4,76.73,40.3,0.75,0.13,13.44,0.71,-0.01,20.44,-42.15,0.4,0.5,62.59,81.05,134.34,-140.69,-0.95,-60.6,1.2,1.2,18.45,0,129,106.3829787,38,40,42,44,50,60,11.8,0.911405506,23.8,80,0,0,
M10_JS_A1_C23,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,243.41,286.2938315,209.3496767,-65.51495354,25.86,175.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,40,1,1.333333333,2,0,0,0,NaN,NaN,251.2,NaN,NaN,NaN,NaN,NaN,38.37,-35.16,1.1,1.2,73.53,85.75,150.79,-62.07,-2.43,-47.38,4.75,207.05,NaN,0,23,NaN,4,5.333333333,8,16,20,0,39.375,1.520064856,62.5,60,0,0,
M10_JS_A1_C24,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,233.23,205.5500736,135.5607142,-69.16952025,26.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,60,1,1.333333333,2,4,0,0,NaN,NaN,208.2,NaN,NaN,NaN,NaN,NaN,35.67,-38.69,1.2,1.3,74.36,85.65,138.39,-64.44,-2.15,-49.97,3.55,120.65,NaN,0,8,NaN,2,2.666666667,2,4,10,0,NaN,0.202339444,89.95,80,0,0,
M10_JS_A1_C25,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,152.37,193.109798,169.5078077,-75.26859996,29.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,1,1.333333333,2,4,0,0,NaN,NaN,114.1,NaN,NaN,NaN,NaN,NaN,30.06,-42.39,1.6,1.75,72.45,84.14,124.54,-48.63,-2.56,-54.08,5.05,50.2,NaN,0,2,NaN,1,1.333333333,2,4,10,0,NaN,NaN,54.6,140,0,0,
M10_JS_A1_C26,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,292.29,357.6950302,286.4163993,-67.80167579,45.8,93.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,60,29,30.66666667,32,32,30,20,1.08,20.45,36.4,0.16,0.01,2.05,0.88,0,20.61,-40.18,0.55,0.6,60.79,80.99,128.67,-125.2,-1.03,-60.38,1.45,1.45,20.2,0,93,74.34944238,41,42.66666667,44,44,50,40,15.1,1.044282187,24.85,80,0,0,
M10_JS_A1_C32,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,154.11,169.5260505,137.0896789,-75.30393681,23.13,NaN,-70,-88.41,0,1.59,3.39,-85.02,1.04,-75.91354071,0,130,1,1.333333333,2,4,0,0,NaN,NaN,134.9,NaN,NaN,NaN,NaN,NaN,35.74,-39.79,1.15,1.25,75.53,86.85,143.66,-68.95,-2.08,-51.12,5.05,55.6,NaN,0,17,NaN,2,2.666666667,4,8,20,20,NaN,0.863221884,28.4,210,0,0,
M10_SA_A1_C01,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,303.65,292.2295523,269.3800238,-75.27205983,29.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,130,1,1.333333333,2,4,10,0,NaN,NaN,71.75,NaN,NaN,NaN,NaN,NaN,31.15,-31.79,0.9,1.1,62.93,82.55,123.62,-74.74,-1.65,-51.41,3.35,3.35,NaN,0,37,NaN,6,8,12,24,30,40,28.75,0.482133473,18.35,190,0,0,
M10_SA_A1_C02,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,151.64,167.7448531,143.8428072,-73.10035641,12.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,165,2,2.666666667,4,8,20,40,1.2,NaN,16.1,0,NaN,NaN,0.94,NaN,17.17,-41.1,0.35,0.45,58.28,81.64,118.65,-149.8,-0.79,-64.47,0.9,0.9,23.37,0,183,157.480315,113,114.6666667,116,116,120,120,6.5,0.766151507,6.75,255,0,0,
M10_SA_A1_C07,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,191.28,208.6291295,193.0643099,-74.88920636,18.15,161.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,1,1.333333333,2,4,10,20,NaN,NaN,26.4,NaN,NaN,NaN,NaN,NaN,17.93,-46.82,0.4,0.45,64.75,85.8,135.97,-158.51,-0.86,-67.87,0.95,0.95,21.05,0,133,NaN,77,78.66666667,80,80,80,80,11.875,0.888684641,11.45,150,0,0,
M10_SA_A1_C08,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,317.32,328.6899777,200.6202727,-73.89554336,13.57,102.85,-70,-98.12,0,4.17,8.71,-89.42,1.1,-73.35732564,0,55,34,33.33333333,34,32,30,20,1.08,28.48,31.35,0.07,0,1,0.99,0,7.4,-42.39,0.45,0.55,49.79,75.49,97.22,-124.73,-0.78,-68.09,1.3,1.3,25.7,0,160,137.9310345,58,57.33333333,58,56,60,60,16.225,0.995798965,17.05,80,0,0,
M10_SA_A1_C11,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,133.2798421,127.7700458,-75.22258869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,120,1,1.333333333,2,4,0,0,NaN,NaN,114.8,NaN,NaN,NaN,NaN,NaN,40.12,-42.26,1.2,1.35,82.38,95.6,164.19,-68.88,-2.38,-55.48,5.05,33.35,NaN,0,16,NaN,3,4,6,8,10,0,216.275,0.297537857,64.35,160,0,0,
