ID,specimen,struct,transline,reporterStatus,AIr,AItau,AIrheobase,pyramidalID,dendrite_type,cortical_layer,acquireRes,Resistence,resistance_hd,resistance_ss,Vrest,time_constant,time_constant2,subamp,submin,rebound_slope,rebound_depolarization,sag,steadystate,sag_ratio,Vrest_sag_sweep,nb_rebound_sp,rheobaseLP,rate_1sRheobase,rate_750msRheobase,rate_500msRheobase,rate_250msRheobase,rate_100msRheobase,rate_50msRheobase,delayRheobase,burstRheobase,latencyRheobase,cv_ISIRheobase,adaptation1Rheobase,adaptation2Rheobase,peak_adaptation1Rheobase,peak_adaptation2Rheobase,peakLP,thresholdLP,half_width_threshold_peak,half_width_peak_trough,height_threshold_peak,height_peak_trough,peak_up_stroke,peak_down_stroke,peak_stroke_ratio,trough,fastTrough,slowTrough,fAHPamp,wf,maxFiringRate,mdn_insta_freq,rate_1sHero,rate_750msHero,rate_500msHero,rate_250msHero,rate_100msHero,rate_50msHero,burst_hero,delay_hero,latency_hero,hero_amp,access_resistance,temperature,cellList
M04_SM_A1_C09,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,A,3,0.05,524.14,454.538562,203.4190191,-61.42353285,22.12,34.51,-90,-103.11,-0.01,20.69,19.73,-83.39,1.24,-61.8389304,0,70,1,1.333333333,2,4,10,20,NaN,NaN,12.25,NaN,NaN,NaN,NaN,NaN,15.29,-40.32,0.9,1.05,55.61,70.84,98.05,-76.77,-1.28,-55.55,2.65,2.65,NaN,0,1,NaN,1,1.333333333,2,4,10,20,NaN,NaN,6.25,110,0,0,
M04_SM_A1_C13,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NA,0,0.05,102.29,118.3413362,109.9993561,-74.98907966,15.22,NaN,-90,-84.79,0,0.6,0.9,-83.89,1.01,-73.86040797,0,150,1,1.333333333,2,4,10,0,NaN,NaN,71.05,NaN,NaN,NaN,NaN,NaN,39.98,-43.2,1,1.05,83.18,92.02,146.16,-94.47,-1.55,-52.04,5.05,26.85,NaN,0,1,NaN,1,1.333333333,2,4,10,20,NaN,NaN,44.25,170,0,0,
M05_JS_A1_C02,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,A,4,0.05,NaN,397.3840531,252.0063756,-68.34005936,NaN,79.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10,17,17.33333333,18,16,10,0,1.17,43.13,66.95,0.16,0.02,1.58,0.84,-0.01,29.7,-47.07,1,1.05,76.77,84.42,145.07,-70.34,-2.06,-54.71,4.6,11.9,NaN,0,41,NaN,41,41.33333333,44,48,50,40,17.65,0.897745365,21.85,30,0,0,
M05_JS_A1_C03,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NA,0,0.05,341.96,354.8323365,301.9520683,-75.35372429,17.26,120.55,-90,-107.1,0,2.25,5.12,-101.97,1.05,-72.98765659,0,50,2,2.666666667,4,8,10,0,0.6,NaN,66.5,0,NaN,NaN,0.94,NaN,34.62,-40.37,0.95,1.1,74.98,92.71,156.82,-79.57,-1.97,-58.09,4.95,15.5,NaN,0,40,32.41491086,7,9.333333333,14,20,20,20,44.225,0.505087108,30.2,70,0,0,
M05_JS_A1_C05,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NA,0,0.05,324.9,327.2594883,249.6616573,-71.49131998,12.65,228.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,30,9,9.333333333,12,20,30,40,0.17,31.05,20.2,0.95,0.07,3.28,0.84,-0.01,22.9,-54.32,1.1,1.15,77.22,84.5,141.06,-68.18,-2.07,-61.6,5.05,5.5,NaN,0,39,NaN,20,26.66666667,34,40,50,60,18,0.276029056,9.9,50,0,0,
M05_JS_A1_C06,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,NA,0,0.05,350.46,347.7875519,167.4273498,-67.09231694,23.6,65.1,-90,-100.36,0,8.37,15.34,-85.02,1.18,-66.3289594,0,70,1,1.333333333,2,4,10,20,NaN,NaN,16.85,NaN,NaN,NaN,NaN,NaN,18.99,-43.3,0.55,0.6,62.28,75.66,134.48,-117.64,-1.14,-56.68,1.4,1.4,13.38,0,82,NaN,52,69.33333333,88,96,100,100,9.775,0.727725236,8.6,110,0,0,
M05_JS_A1_C08,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,A,6-May,0.05,184.63,237.1753692,207.6575463,-65.48972414,20.85,323.68,-90,-84.56,0,2.41,3.03,-81.54,1.04,-62.2281963,0,90,1,1.333333333,2,4,10,0,NaN,NaN,78.95,NaN,NaN,NaN,NaN,NaN,12.08,-36.29,1.2,1.45,48.37,67.66,88.68,-53.98,-1.64,-55.57,3.6,3.6,NaN,0,3,NaN,2,2.666666667,4,8,20,40,NaN,0.56873823,15.1,130,0,0,
M05_JS_A1_C09,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,A,6-May,0.05,489.68,507.3462179,374.2649402,-65.93779937,23.83,163.33,-90,-110.72,0,3.42,10.81,-99.92,1.11,-63.63818193,0,50,1,1.333333333,2,4,10,20,NaN,NaN,17.3,NaN,NaN,NaN,NaN,NaN,29.09,-44.15,0.9,1.05,73.25,88.78,144.95,-76.94,-1.88,-59.68,3.55,3.55,NaN,0,2,NaN,1,1.333333333,2,4,10,20,NaN,NaN,9.75,70,0,0,
M05_JS_A1_C11,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,A,3,0.05,302.15,339.7817532,283.6473792,-63.88414975,20.33,265.15,-110,-98.48,0,1.06,5.57,-92.92,1.06,-60.67236947,0,40,23,22.66666667,22,16,0,0,2.82,41.5,111.4,0.09,0,1,0.8,0,27.73,-43.6,1.05,1.15,71.32,84.55,144.31,-68.44,-2.11,-56.82,3.9,3.9,NaN,0,35,51.28205128,35,36,40,36,30,40,29.05,0.703209559,19.3,70,0,0,
M05_MJ_A1_C02,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,S,6-May,0.05,219.86,186.058416,182.9502878,-52.33891172,22.53,NaN,-90,-73.17,0,0.85,1,-72.17,1.01,-53.19805754,0,130,1,1.333333333,2,4,10,20,NaN,NaN,9.85,NaN,NaN,NaN,NaN,NaN,7.57,-37.5,2.4,2.6,45.07,50.08,50.58,-19.91,-2.54,-42.51,5.05,16.2,NaN,0,1,NaN,1,1.333333333,2,4,10,20,NaN,NaN,5.4,170,0,0,
M05_MJ_A1_C04,NHP,PFC,N/A,N/A,NaN,NaN,NaN,NaN,S,6-May,0.05,179.66,185.619905,153.5294349,-71.45967971,27.74,NaN,-90,-89.18,0,1.43,3.32,-85.85,1.04,-71.72476364,0,70,1,1.333333333,2,4,0,0,NaN,NaN,129.45,NaN,NaN,NaN,NaN,NaN,9.77,-45.01,1.6,1.9,54.77,69.61,81.52,-38.52,-2.12,-59.84,5.05,35.3,NaN,0,11,NaN,2,2.666666667,4,8,10,0,NaN,0.384719864,56.65,110,0,0,
