cellID,Species,Sex,Cortical area,Subject ID,Dendrite type,Cortical layer,AP halfwidth,AP amplitude,Resting potential,Rheobase,Resistance,Time Constant,Maximum firing rate,Median instantanous frequency,internalID
8431110,macaca mulatta,NA,PFC,6057,NA,NA,0.75,80.57,-74.11,190,218.57,12.85,4,25.28,M02_SM_A6_C14
8606409,macaca mulatta,NA,PFC,6057,A,NA,0.95,66.04,-62.02,130,881.68,16.22,13,40.08,M02_SM_A6_C15
2614677,macaca mulatta,NA,PFC,6057,A,NA,0.35,69.98,-65.08,110,308.49,13.83,196,178.57,M02_SM_A6_C16
5884058,macaca fascicularis,NA,PFC,2719,A,3,0.55,59.24,-69.41,30,250.38,23.4,67,56.18,M03_JS_A1_C01
1944276,macaca fascicularis,NA,PFC,2719,NA,NA,0.65,77.24,-54.89,90,352.81,15.35,72,82.64,M03_JS_A1_C02
7256120,macaca fascicularis,NA,PFC,2719,NA,NA,0.4,43.84,-61.28,90,406.5,17.6,108,143.88,M03_JS_A1_C03
6537529,macaca fascicularis,NA,PFC,2719,A,2,0.6,49.37,-66.26,30,324.38,24.72,108,87.72,M03_JS_A1_C04
5995315,macaca fascicularis,NA,PFC,2719,NA,NA,0.75,74.13,-68.37,30,254.09,11.87,5,79.21,M03_JS_A1_C05
3621020,macaca fascicularis,NA,PFC,2719,NA,NA,0.55,75.46,-61.17,30,488.68,13.48,117,94.34,M03_JS_A1_C06
1730110,macaca fascicularis,NA,PFC,2719,NA,NA,0.65,61.59,-49.87,30,285,12.25,63,74.63,M03_JS_A1_C07
4769321,macaca fascicularis,NA,PFC,2719,NA,NA,1.1,63.87,-58.64,150,478.04,20.9,1,9.15,M03_JS_A1_C08
4255641,macaca fascicularis,NA,PFC,2719,NA,NA,0.35,52.36,-64.73,150,270.32,11.22,115,112.99,M03_JS_A1_C10
6535615,macaca fascicularis,NA,PFC,2719,S,3,0.7,82.36,-70.73,130,103.14,65.5,1,NaN,M03_JS_A1_C14
7382003,macaca fascicularis,NA,PFC,2719,A,3,0.9,51.7,-51.65,30,349.71,6.85,95,97.56,M03_JS_A1_C15
7217222,macaca fascicularis,NA,PFC,2719,S,NA,1.6,56.97,-58.62,90,287,16.52,1,NaN,M03_JS_A1_C17
6234539,macaca fascicularis,NA,PFC,2719,S,3,0.75,77.34,-71.35,70,359.4,22.37,40,34.31,M03_JS_A1_C18
4109613,macaca fascicularis,NA,PFC,2719,A,3,0.75,79.88,-68.47,30,434.66,21.75,57,61.16,M03_JS_A1_C19
3996040,macaca fascicularis,NA,PFC,2719,NA,NA,0.7,69.4,-68.17,30,414.92,25.12,46,41.49,M03_JS_A1_C20
6780595,macaca fascicularis,NA,PFC,2719,A,4,0.65,55.05,-54.61,30,449.98,19.03,107,98.52,M03_MW_A1_C02
4849747,macaca fascicularis,NA,PFC,2719,S,3,1.5,83.74,-65.69,50,235.43,23.18,19,15.17,M03_MW_A1_C03
4270012,macaca fascicularis,NA,PFC,2719,S,4,1.45,72.48,-62.47,50,240.89,16.48,25,20.96,M03_MW_A1_C06
7542404,macaca fascicularis,NA,PFC,2719,A,2,0.85,85.36,-62.93,70,342.14,16.83,23,20.08,M03_MW_A1_C08
6895102,macaca fascicularis,NA,PFC,2719,S,3,0.9,89.53,-66.37,90,425.65,20.12,8,21.39,M03_MW_A1_C09
1821560,macaca fascicularis,NA,PFC,2719,S,3,1.1,86.79,-69.79,150,109.82,17.87,1,NaN,M03_MW_A1_C10
4849720,macaca fascicularis,NA,PFC,2719,S,3,1.2,100.41,-72.91,70,203.98,15.75,18,14.04,M03_MW_A1_C11
4916610,macaca fascicularis,NA,PFC,2719,NA,NA,1.75,83.32,-58.04,30,276.35,43.92,17,14.08,M03_MW_A1_C15
5010892,macaca fascicularis,NA,PFC,2719,NA,NA,1.4,91.14,-65.15,90,215.7,19.47,13,10.55,M03_MW_A1_C16
6867830,macaca fascicularis,NA,PFC,2719,A,3,0.65,72.8,-72.64,90,144.45,15.65,2,19.56,M03_SM_A1_C02
1218334,macaca fascicularis,NA,PFC,2719,A,3,0.45,55.44,-57.11,150,301.97,15.58,112,107.53,M03_SM_A1_C04
9093066,macaca fascicularis,NA,PFC,2719,S,3,0.7,80.98,-75.3,130,145.68,13.85,1,NaN,M03_SM_A1_C05
7159732,macaca fascicularis,NA,PFC,2719,S,3,0.55,82.5,-75.23,170,145.24,12.05,1,NaN,M03_SM_A1_C07
3791505,macaca fascicularis,NA,PFC,2719,NA,NA,0.7,96.78,-72.92,150,150.64,11.32,1,NaN,M03_SM_A1_C09
1875303,macaca fascicularis,NA,PFC,2719,A,4,1.15,64.45,-57.54,90,226.49,18,2,38.61,M03_SM_A1_C12
8930506,macaca fascicularis,NA,PFC,2719,S,2,0.4,48.33,-60.91,110,289.94,19.27,2,103.09,M03_SM_A1_C13
2333742,macaca fascicularis,NA,PFC,2719,S,NA,0.7,87.48,-77.3,110,144.27,15.8,1,NaN,M03_SM_A1_C14
8046166,macaca fascicularis,NA,PFC,2719,S,NA,0.7,81.06,-63.53,90,326.67,14.48,1,NaN,M03_SM_A1_C15
9355943,macaca fascicularis,NA,PFC,2719,S,NA,0.65,72.96,-66.49,90,258.35,20.2,2,84.03,M03_SM_A1_C16
3873304,macaca fascicularis,NA,PFC,1680,NA,NA,0.45,64.33,-58.8,50,588.19,29.45,82,95.69,M04_JS_A1_C01
5819158,macaca fascicularis,NA,PFC,1680,NA,NA,0.85,71.51,-65.18,20,483.88,21.32,30,26.6,M04_JS_A1_C02
8870939,macaca fascicularis,NA,PFC,1680,NA,NA,0.45,65.98,-56.66,150,327.55,20.95,146,141.84,M04_JS_A1_C03
3574150,macaca fascicularis,NA,PFC,1680,NA,NA,0.7,61.75,-62.83,30,248.25,95.05,26,26.35,M04_JS_A1_C05
3665191,macaca fascicularis,NA,PFC,1680,S,5_6,0.85,67.29,-68.12,90,161.14,13.05,11,75.19,M04_JS_A1_C06
2423461,macaca fascicularis,NA,PFC,1680,NA,NA,0.75,75.04,-56.83,10,422.61,9.35,70,55.56,M04_JS_A1_C08
2627090,macaca fascicularis,NA,PFC,1680,S,3,0.9,68.28,-67.63,70,396.31,20.15,1,NaN,M04_JS_A1_C09
7409082,macaca fascicularis,NA,PFC,1680,NA,NA,1,72.62,-75.71,80,279.36,25.97,2,4.03,M04_JS_A1_C10
2024419,macaca fascicularis,NA,PFC,1680,S,5_6,1.55,85.3,-81.14,70,297.03,24.8,26,22.01,M04_JS_A1_C12
6237597,macaca fascicularis,NA,PFC,1680,S,5_6,1,81.37,-68.41,50,202.32,22.2,26,20.47,M04_JS_A1_C13
2649786,macaca fascicularis,NA,PFC,1680,A,5_6,0.95,86.37,-67.07,10,278.58,25.8,28,23.58,M04_JS_A1_C14
9355033,macaca fascicularis,NA,PFC,1680,NA,NA,1.2,71.21,-69.31,20,527.03,19.73,33,26.92,M04_JS_A1_C15
4691779,macaca fascicularis,NA,PFC,1680,S,3,1.15,65.73,-69.52,230,112.85,8.95,1,NaN,M04_JS_A1_C17
9349566,macaca fascicularis,NA,PFC,1680,NA,NA,0.9,82.64,-81.03,270,93.23,6.93,20,16.6,M04_MW_A1_C02
9809147,macaca fascicularis,NA,PFC,1680,A,3,0.4,74.34,-59,150,210,11.68,1,NaN,M04_MW_A1_C06
4029742,macaca fascicularis,NA,PFC,1680,S,3,1.15,76.84,-72.34,170,141.93,10.35,1,NaN,M04_MW_A1_C07
2365626,macaca fascicularis,NA,PFC,1680,NA,NA,0.95,82.75,-65.05,70,261.95,17.15,23,20.16,M04_MW_A1_C08
8547048,macaca fascicularis,NA,PFC,1680,NA,NA,1.35,86.9,-53.42,30,269.71,32.25,16,12.34,M04_MW_A1_C09
7871810,macaca fascicularis,NA,PFC,1680,NA,NA,0.85,95.49,-87.83,330,87.94,6.7,1,NaN,M04_MW_A1_C10
2532120,macaca fascicularis,NA,PFC,1680,NA,NA,1.35,53.39,-57.63,90,552.01,32,1,NaN,M04_SM_A1_C05
5239920,macaca fascicularis,NA,PFC,1680,NA,NA,0.85,71.69,-76.14,90,269.69,11.35,2,55.71,M04_SM_A1_C07
3719986,macaca fascicularis,NA,PFC,1680,NA,NA,0.9,58.18,-52.66,50,230.24,10.83,58,71.17,M04_SM_A1_C08
1010437,macaca fascicularis,NA,PFC,1680,S,3,0.8,57.54,-61.44,90,427.52,22.12,1,NaN,M04_SM_A1_C09
3412592,macaca fascicularis,NA,PFC,1680,A,3,0.95,64.49,-64.32,30,417.8,8.45,91,99.5,M04_SM_A1_C12
7017110,macaca fascicularis,NA,PFC,1680,NA,NA,1,82.44,-74.98,150,114.47,12.88,1,NaN,M04_SM_A1_C13
5848360,macaca fascicularis,NA,PFC,6893,A,4,1.1,67.72,-65.04,10,611.94,47.15,4,540.54,M05_JS_A1_C01
3705665,macaca fascicularis,NA,PFC,6893,A,4,0.95,76.87,-68.5,150,398.42,25.95,41,39.8,M05_JS_A1_C02
4065486,macaca fascicularis,NA,PFC,6893,NA,NA,0.9,74.4,-75.33,50,356.48,14.68,40,32.41,M05_JS_A1_C03
2456147,macaca fascicularis,NA,PFC,6893,NA,NA,1.05,79.74,-71.59,210,395.52,15.12,43,55.71,M05_JS_A1_C05
5320765,macaca fascicularis,NA,PFC,6893,NA,NA,0.55,62.38,-66.74,70,349.36,19.68,90,103.09,M05_JS_A1_C06
2513540,macaca fascicularis,NA,PFC,6893,S,2,1.45,57.53,-69.02,110,628.02,38.27,1,NaN,M05_JS_A1_C07
8348086,macaca fascicularis,NA,PFC,6893,A,5_6,0.95,72.14,-65.76,50,507.87,18.75,3,74.63,M05_JS_A1_C09
9530789,macaca fascicularis,NA,PFC,6893,A,4,0.95,83.92,-57.49,190,229.26,16.45,2,71.17,M05_JS_A1_C10
1644318,macaca fascicularis,NA,PFC,6893,A,3,0.9,71.23,-63.78,190,310.19,16.62,37,58.65,M05_JS_A1_C11
