ID,Resistence,time_constant,streng_rectif,rebound_slope,nb_rebound_sp,sag,sag_ratio,rheobaseLP,burst,delay,latencyLP,meanISI,cv_ISI,adaptation1,adaptation2,peak_adaptation1,peak_adaptation2,peakLP,thresholdLP,half_width,height,fastTrough,slowTrough,nb_persistent,dur_persistence,firing_rate_2xRB,cvISIlast_2xRB,rheobase_3ms,latency,threshold,threshold2,peak,height_threshold_peak,height_peak_trough,peak_up_stroke,peak_down_stroke,peak_stroke_ratio,halfWidthTP,halfWidthPT,peakDown,trough,preview,link,Morphology
M10_JS_A1_C14,173.5142338,15.65625,7.642212085,-0.001160661,0,7.642212085,1.080222195,90,128.7,0.634809635,81.7,128.7,0.571399419,,,0.885714286,,25.66528378,-43.76220801,0.8,69.42749179,2.7,40.75,0,0,,,600,3.7,-44.15893653,-44.15893653,8.850097854,53.00903439,75.04272629,186.7675823,-81.17675963,-2.30075188,0.75,1,-81.17675963,-66.19262843,,,
M10_JS_A1_C17,72.60640625,18.6875,3.071899483,-0.000370726,0,3.071899483,1.034694314,150,367.375,0.412112964,151.4,367.375,0.303437588,,,0.981617647,,37.75024498,-45.25756937,1.4,83.00781436,4.95,119.25,0,0,14,0.339636073,1760,3.5,-58.68530405,-58.68530405,47.54638778,106.2316918,98.60229713,336.3037185,-72.63183756,-4.630252101,1.25,1.2,-72.63183756,-51.05590934,,,
M10_JS_A1_C18,185.3942913,21.33125,8.582763864,-0.001130207,0,8.582763864,1.091023251,150,,,11.55,,,,,,,15.77758824,-32.2570808,0.4,48.03466904,1.3,1.3,0,0,4,0.494710598,360,3.2,-35.03418047,-35.03418047,22.09472706,57.12890753,73.48632977,325.9277417,-186.7675823,-1.745098039,0.35,0.4,-186.7675823,-51.39160271,,,
M10_JS_A1_C20,386.8103114,20.16875,4.731445418,-0.00025343,0,4.731445418,1.051474787,40,78.275,0.465994001,35.6,76.39583333,0.075556587,-0.001429801,0.968814969,0.968006917,-0.001113894,32.80639722,-37.78076256,0.7,70.58715978,5,13.45,0,0,34,0.09814397,410,4.05,-33.41674879,-33.41674879,33.72192458,67.13867338,94.54345914,270.3857482,-109.2529321,-2.474860335,0.65,0.85,-109.2529321,-60.82153456,,,
M10_JS_A1_C22,324.6307446,24.675,8.125610533,-0.000720264,0,8.125610533,1.08066676,60,76.7,0.402992437,40.85,101.3666667,0.746982187,0.12555443,13.51086957,0.698067633,-0.014202126,22.70507863,-40.4663095,0.35,63.17138813,1.2,1.2,0,0,79,0.097731218,360,3.35,-47.79052841,-47.79052841,29.90722723,77.69775564,95.00122283,414.4287202,-263.0615293,-1.575406032,0.35,0.4,-263.0615293,-65.0939956,,,
M10_JS_A1_C23,256.347662,25.6625,8.307495303,-0.001615252,0,8.307495303,1.097999122,40,,,251.7,,,,,,,38.63525477,-33.59985427,1,72.23510904,4.75,91.95,0,0,5,0.445796763,540,3.35,-42.35839938,-42.35839938,49.19433704,91.55273642,105.2551293,377.1972741,-86.66992381,-4.352112676,0.95,1.05,-86.66992381,-56.06079227,,,
M10_JS_A1_C24,227.7374318,26.575,6.779785308,-0.001296393,0,6.779785308,1.079489345,60,,,208.75,,,,,,,36.04126057,-37.62817467,1.15,73.66943524,3.55,94.25,0,0,6,0.238632513,1220,3.4,-52.03247187,-52.03247187,48.73657335,100.7690452,108.7951684,347.9003984,-86.66992381,-4.014084507,1.05,1.1,-86.66992381,-60.05859509,,,
M10_JS_A1_C26,264.3585264,28.81875,7.9193117,-0.005091506,0,7.9193117,1.086399201,40,,,74.65,,,,,,,16.8457035,-35.88867268,0.5,52.73437618,1.7,1.7,4,7434.35,40,0.114003883,420,3.35,-45.04394632,-45.04394632,33.41674879,78.46069511,97.35107639,449.21876,-264.2822325,-1.699769053,0.4,0.4,-264.2822325,-63.9343276,,,
M10_SA_A1_C01,303.6499091,20.14375,1.685058631,0.000181599,0,1.685058631,1.018944728,130,,,72.3,,,,,,,31.14624093,-30.80444405,0.85,61.95068498,3.35,3.35,0,0,3,1.344812997,550,3.65,-44.31457619,-44.31457619,38.58337489,82.89795107,103.0487084,282.0434633,-77.20947438,-3.652964427,0.95,1.1,-77.20947438,-64.46533347,,,
M10_SA_A1_C02,145.4219144,17.4625,4.460510354,-0.000793258,0,4.460510354,1.049010844,165,,1.237918216,16.65,13.45,0,,,0.934977578,,17.17224159,-38.63220301,0.25,55.80444461,0.9,0.9,4,634.7,159,0.040338588,420,3.7,-46.78650007,-46.78650007,17.98706095,64.77356102,90.25268756,405.5786223,-284.1796939,-1.427190722,0.3,0.4,-284.1796939,-72.26562662,,,
M10_SA_A1_C07,198.4863326,22.30625,1.998779342,-0.000230619,0,1.998779342,1.021081472,100,,,26.9,,,,,,,17.93212931,-45.29113871,0.3,63.22326801,0.95,0.95,0,0,104,0.047844972,350,3.5,-52.72216915,-52.72216915,25.49438534,78.21655448,96.62780978,464.6606549,-289.0625065,-1.607474662,0.35,0.4,-289.0625065,-71.13342444,,,
M10_SA_A1_C08,317.3217844,21.46875,8.77099629,-0.001564033,0,8.77099629,1.098162091,55,28.4,1.108953382,32.3,29.1265625,0.067336396,0.001056413,1.068901304,0.971402275,-0.000870306,7.403564619,-39.0167245,0.35,46.42028912,1.3,1.3,5,0.05,101,0.021855022,290,3.7,-42.09899996,-42.09899996,20.27587936,62.37487932,93.6553976,379.0893639,-263.8549864,-1.43673375,0.3,0.4,-263.8549864,-73.37951824,,,
M10_SA_A1_C11,86.402895,22.34375,2.292114309,-0.000116887,0,2.292114309,1.024623216,120,,,115.3,,,,,,,40.1184091,-41.10717865,1.15,81.22558775,5.05,33.35,,,5,0.274161518,1360,3.8,-46.46606549,-46.46606549,39.04419033,85.51025582,106.2438989,271.7285217,-62.5000014,-4.34765625,1.3,1.55,-62.5000014,-67.19970853,,,
